Unnamed__0,2024_09_30,2023_09_30,2022_09_30,2021_09_30,2020_09_30
33,0.0,0.0014719291389865834,0.0008462937906360379,0.0,0.0
35,6.163131177516079e-13,0.0014719291393695455,0.0008462937910465157,3.635697630235883e-13,0.0
21,0.3443707085043538,0.3292562198775564,0.3316128738008727,0.33660546120054563,0.0
17,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
30,0.029268479803598143,0.03148104728409535,0.02898176160866767,0.030846024104948647,0.0
29,0.5379365018476607,0.5593382831835353,0.5672702211005873,0.5822064037483222,0.0
7,0.3443707085043538,0.3292562198775564,0.3316128738008727,0.33660546120054563,0.0
6,0.31510222870075566,0.29924710173244756,0.303477405982841,0.30575943709559694,0.0
19,0.0,0.0009951804090139378,0.0005777095337275947,0.0005412542336742141,0.23651342014350255
9,0.0,0.011718119056923278,0.008272901875528933,0.007230391151860083,0.7634865798564975
11,0.0,0.011241370326950632,0.00800431761862049,0.007771645385534297,1.0
22,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
16,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
36,0.6848977712992443,0.7022248274065391,0.697368887807795,0.702176224724384,0.0
37,0.31510222870075566,0.29924710173244756,0.303477405982841,0.29782377527561593,0.0
3,0.03940336542764714,0.04266652859189788,0.042212878361737385,0.04610206469354896,0.0
0,0.03923889933126191,0.042488552820112026,0.04193452371903046,0.04565471806941722,0.0
4,1.554848031506131e-11,0.0014719291549563634,0.0008462938061176399,1.53355366207694e-11,0.0
1,1.5625199790300102e-11,0.0014719291550345187,0.0008462938062189924,1.5499553055216133e-11,0.0
5,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
14,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
13,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
18,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
15,0.23971255769943867,0.2541617819460727,0.253728506924913,0.2588179335569424,0.0
34,0.07607758896262483,0.04508531978637489,0.04974889905792805,0.039711112386794485,0.0
28,0.3157901466620635,0.297775172593461,0.302631112192205,0.29852904594373686,0.0
26,0.0006879179613078113,0.0,0.0,0.00016401643444673156,0.0
27,0.0006879179613078113,0.0,0.0,0.00016401643444673156,0.0
20,0.0,0.0009951804090139378,0.0005777095337275947,0.0005412542336742141,0.23651342014350255
10,0.0,0.011718119056923278,0.008272901875528933,0.007230391151860083,0.7634865798564975
12,0.0,0.011241370326950632,0.00800431761862049,0.007771645385534297,1.0
24,0.31510222870075566,0.29924710173244756,0.303477405982841,0.29782377527561593,0.0
23,0.1469612694515836,0.14435847336199037,0.1309449604978437,0.11996982097606179,0.0
31,0.08022299794136074,0.07940601797577179,0.06736143839538643,0.05990426907442792,0.0
32,0.06673827151022287,0.06642438452520516,0.06442981589309334,0.060065551901633873,0.0
8,0.46206349815233927,0.44213364595545135,0.4335760726900487,0.4177935962516777,0.0
2,0.5379365018476607,0.5593382831835353,0.5672702211005873,0.5822064037483222,0.0
38,1.0,1.0,1.0,1.0,0.0
25,1.0,1.0,1.0,1.0,0.0
